Oras,Judet,Serie / Serii C.I.,Prescurtare Județ
Alba Iulia,Alba,AX,"	AB"
Alexandria,Teleorman,TR,TR
"	Arad","	Arad","AR, ZR",AR
Bacău,Bacău,"	XC, ZC",BC
Baia Mare,Maramureș,"MM, XM",MM
Bistrița,"	Bistrița-Năsăud",XB,"	BN"
Botoșani,"	Botoșani","XT, ZT",BT
Brașov,"	Brașov","BV, ZV",BV
Brăila,Brăila,XR,"	BR"
București, -  ,"DP, DR, DT, DX, RD, RR, RT, RX, RK, RZ",B
București,Ilfov,"	IF",IF
Buzău,Buzău,"XZ, ZB","	BZ"
Călărași,"	Călărași",KL,CL
Cluj-Napoca,Cluj,"KX, CJ",CJ
Constanța,"	Constanța","	KT, KZ",CT
Craiova,"	Dolj","	DX, DZ",DJ
Deva,"	Hunedoara","HD, XD",HD
Focșani,Vrancea,VN,VN
Galați,Galați,"GL, ZL","	GL"
Giurgiu,Giurgiu,"	GG",GR
Iași,Iași,"MX, MZ, IZ",IS
Drobeta-Turnu Severin,Mehedinți,MH,MH
Miercurea Ciuc,Harghita,HR,HR
Oradea,Bihor,"XH, ZH",BH
Piatra Neamț,Neamț,"NT, NZ",NT
Pitești,Argeș,"AS , AZ",AG
Ploiești,Prahova,"PH, PX,PK",PH
Reșița,Caraș-Severin,KS,CS
Râmnicu Vâlcea,Vâlcea,VX,VL
Satu Mare,Satu Mare,SM,SM
Sfântu Gheorghe,Covasna,KV,CV
Sibiu,Sibiu,"SB, SR",SB
Slatina,Olt,"OT, SL",OT
Slobozia,Ialomița,SZ,IL
Suceava,Suceava,"SV, XV",SV
Timișoara,"	Timiș","	TM, TZ",TM
Târgoviște,Dâmbovița,"	DD, ZD",DB
Târgu Jiu,"	Gorj",GZ,"	GJ"
Târgu Mureș,"	Mureș","ZS, MS",MS
Tulcea,Tulcea,"	TC",TL
Vaslui,Vaslui,"VS, XS",VS
Zalău,"	Sălaj",SX,"	SJ"
